EKATTE_ID,SETTLEMENT_NAME,AREA(DECARS)
50245,"гр. Момин проход, общ. Костенец, обл. София",0
48996,"гр. Момчилград, общ. Момчилград, обл. Кърджали",16198
48489,"гр. Монтана, общ. Монтана, обл. Монтана",69235
49494,"гр. Мъглиж, общ. Мъглиж, обл. Стара Загора",73923
51319,"гр. Неделино, общ. Неделино, обл. Смолян",43330
51500,"гр. Несебър, общ. Несебър, обл. Бургас",31852
51648,"гр. Николаево, общ. Николаево, обл. Стара Загора",14867
51723,"гр. Никопол, общ. Никопол, обл. Плевен",35185
51809,"гр. Нова Загора, общ. Нова Загора, обл. Сливен",24449
00357,"гр. Нови Искър, общ. Столична, обл. София (столица)",52808
52009,"гр. Нови пазар, общ. Нови пазар, обл. Шумен",35622
53045,"гр. Обзор, общ. Несебър, обл. Бургас",36779
53535,"гр. Омуртаг, общ. Омуртаг, обл. Търговище",23639
53552,"гр. Опака, общ. Опака, обл. Търговище",56940
54020,"гр. Оряхово, общ. Оряхово, обл. Враца",50792
55021,"гр. Павел баня, общ. Павел баня, обл. Стара Загора",28526
55052,"гр. Павликени, общ. Павликени, обл. Велико Търново",42221
55155,"гр. Пазарджик, общ. Пазарджик, обл. Пазарджик",37382
55302,"гр. Панагюрище, общ. Панагюрище, обл. Пазарджик",221779
55871,"гр. Перник, общ. Перник, обл. Перник",72289
55909,"гр. Перущица, общ. Перущица, обл. Пловдив",48719
56126,"гр. Петрич, общ. Петрич, обл. Благоевград",80421
56277,"гр. Пещера, общ. Пещера, обл. Пазарджик",90245
56407,"гр. Пирдоп, общ. Пирдоп, обл. София",90148
56719,"гр. Плачковци, общ. Трявна, обл. Габрово",34669
56722,"гр. Плевен, общ. Плевен, обл. Плевен",85087
56770,"гр. Плиска, общ. Каспичан, обл. Шумен",34356
56784,"гр. Пловдив, общ. Пловдив, обл. Пловдив",101981
57354,"гр. Полски Тръмбеш, общ. Полски Тръмбеш, обл. Велико Търново",17172
57491,"гр. Поморие, общ. Поморие, обл. Бургас",49879
57649,"гр. Попово, общ. Попово, обл. Търговище",42214
57772,"гр. Пордим, общ. Пордим, обл. Плевен",47231
58030,"гр. Правец, общ. Правец, обл. София",46073
58356,"гр. Приморско, общ. Приморско, обл. Бургас",69415
58503,"гр. Провадия, общ. Провадия, обл. Варна",21738
59080,"гр. Първомай, общ. Първомай, обл. Пловдив",75485
61460,"гр. Раднево, общ. Раднево, обл. Стара Загора",84509
61577,"гр. Радомир, общ. Радомир, обл. Перник",47499
61710,"гр. Разград, общ. Разград, обл. Разград",92845
61813,"гр. Разлог, общ. Разлог, обл. Благоевград",221114
62004,"гр. Ракитово, общ. Ракитово, обл. Пазарджик",117099
62075,"гр. Раковски, общ. Раковски, обл. Пловдив",97999
62671,"гр. Рила, общ. Рила, обл. Кюстендил",58156
62997,"гр. Роман, общ. Роман, обл. Враца",15871
63207,"гр. Рудозем, общ. Рудозем, обл. Смолян",36685
63427,"гр. Русе, общ. Русе, обл. Русе",127124
65139,"гр. Садово, общ. Садово, обл. Пловдив",15482
65231,"гр. Самоков, общ. Самоков, обл. София",128982
65334,"гр. Сандански, общ. Сандански, обл. Благоевград",26867
65365,"гр. Сапарева баня, общ. Сапарева баня, обл. Кюстендил",79720
11538,"гр. Свети Влас, общ. Несебър, обл. Бургас",36125
65677,"гр. Свиленград, общ. Свиленград, обл. Хасково",79686
65766,"гр. Свищов, общ. Свищов, обл. Велико Търново",110271
65869,"гр. Своге, общ. Своге, обл. София",21932
65927,"гр. Севлиево, общ. Севлиево, обл. Габрово",41244
66229,"гр. Сеново, общ. Ветово, обл. Русе",47106
66264,"гр. Септември, общ. Септември, обл. Пазарджик",22454
66425,"гр. Силистра, общ. Силистра, обл. Силистра",27159
47278,"гр. Симеоновград, общ. Симеоновград, обл. Хасково",77159
66460,"гр. Симитли, общ. Симитли, обл. Благоевград",36366
67088,"гр. Славяново, общ. Плевен, обл. Плевен",93454
67338,"гр. Сливен, общ. Сливен, обл. Сливен",193778
67372,"гр. Сливница, общ. Сливница, обл. София",42816
67444,"гр. Сливо поле, общ. Сливо поле, обл. Русе",36233
67653,"гр. Смолян, общ. Смолян, обл. Смолян",134590
67708,"гр. Смядово, общ. Смядово, обл. Шумен",96758
