MUNICIPALITY_CODE	PROVINCE_CODE	contains	EKATTE_ID	NAME_BG	TYPE_BG	NAME_EN	TYPE_EN
SML31	SML		"6923"	Буката	с.	Bukata	с.
SML16	SML		"6937"	Букова поляна	с.	Bukova polyana	с.
VTR04	VTR		"6940"	Буковец	с.	Bukovets	с.
VID09	VID		"6954"	Буковец	с.	Bukovets	с.
VRC08	VRC		"6968"	Буковец	с.	Bukovets	с.
MON07	MON		"6971"	Буковец	с.	Bukovets	с.
SFO43	SFO		"6985"	Буковец	с.	Bukovets	с.
PVN24	PVN		"6999"	Буковлък	с.	Bukovlak	с.
BLG11	BLG		"7003"	Буково	с.	Bukovo	с.
SML16	SML		"7017"	Буково	с.	Bukovo	с.
SFO09	SFO		"7020"	Букоровци	с.	Bukorovtsi	с.
VAR13	VAR		"7034"	Булаир	с.	Bulair	с.
KNL29	KNL		"7048"	Буново	с.	Bunovo	с.
SFO56	SFO		"7051"	Буново	с.	Bunovo	с.
KNL27	KNL		"7065"	Бураново	с.	Buranovo	с.
BGS04	BGS		"7079"	Бургас	гр.	Burgas	гр.
GAB29	GAB		"7082"	Буря	с.	Burya	с.
PER51	PER		"7096"	Бусинци	с.	Busintsi	с.
SOF46	SOF		"7106"	Бусманци	с.	Busmantsi	с.
VRC20	VRC		"7116"	Бутан	с.	Butan	с.
VTR22	VTR		"7123"	Бутово	с.	Butovo	с.
PER51	PER		"7137"	Бутроинци	с.	Butrointsi	с.
SOF46	SOF		"7140"	Бухово	гр.	Buhovo	гр.
TGV35	TGV		"7154"	Буховци	с.	Buhovtsi	с.
BLG03	BLG		"7168"	Бучино	с.	Buchino	с.
SFO26	SFO		"7171"	Бучин проход	с.	Buchin prohod	с.
SZR31	SZR		"7199"	Бъдеще	с.	Badeshte	с.
MON11	MON		"7209"	Бъзовец	с.	Bazovets	с.
RSE08	RSE		"7212"	Бъзовец	с.	Bazovets	с.
KNL50	KNL		"7226"	Бъзовица	с.	Bazovitsa	с.
RSE27	RSE		"7231"	Бъзън	с.	Bazan	с.
TGV22	TGV		"7243"	Българаново	с.	Balgaranovo	с.
DOB17	DOB		"7257"	Българево	с.	Balgarevo	с.
LOV18	LOV		"7260"	Българене	с.	Balgarene	с.
PVN16	PVN		"7274"	Българене	с.	Balgarene	с.
SZR27	SZR		"7288"	Българене	с.	Balgarene	с.
BGS13	BGS		"7291"	Българи	с.	Balgari	с.
HKV33	HKV		"7315"	Българин	с.	Balgarin	с.
SLS31	SLS		"7329"	Българка	с.	Balgarka	с.
BGS04	BGS		"7332"	Българово	гр.	Balgarovo	гр.
HKV32	HKV		"7346"	Българска поляна	с.	Balgarska polyana	с.
LOV33	LOV		"7357"	Български извор	с.	Balgarski izvor	с.
VTR28	VTR		"7363"	Българско Сливово	с.	Balgarsko Slivovo	с.
BLG03	BLG		"7377"	Българчево	с.	Balgarchevo	с.
VAR13	VAR		"7394"	Бърдарево	с.	Bardarevo	с.
VRC08	VRC		"7418"	Бърдарски геран	с.	Bardarski geran	с.
SFO20	SFO		"7435"	Бърдо	с.	Bardo	с.
RAZ14	RAZ		"7452"	Бърдоква	с.	Bardokva	с.
KRZ35	KRZ		"7472"	Бърза река	с.	Barza reka	с.
VRC35	VRC		"7497"	Бързина	с.	Barzina	с.
VAR24	VAR		"7507"	Бързица	с.	Barzitsa	с.
MON02	MON	(1:37318)	"7510"	Бързия	с.	Barzia	с.
PVN11	PVN		"7524"	Бъркач	с.	Barkach	с.
VRC08	VRC		"7538"	Бъркачево	с.	Barkachevo	с.
SFO45	SFO		"7541"	Бърложница	с.	Barlozhnitsa	с.
SFO09	SFO		"7555"	Бърля	с.	Barlya	с.
PAZ20	PAZ		"7572"	Бъта	с.	Bata	с.
PAZ06	PAZ		"7586"	Бяга	с.	Byaga	с.
VAR05	VAR		"7598"	Бяла	гр.	Byala	гр.
RSE04	RSE		"7603"	Бяла	гр.	Byala	гр.
SLV20	SLV		"7613"	Бяла	с.	Byala	с.
BGS12	BGS		"7627"	Бяла вода	с.	Byala voda	с.
PVN03	PVN		"7630"	Бяла вода	с.	Byala voda	с.
SLV24	SLV		"7644"	Бяла паланка	с.	Byala palanka	с.
KRZ16	KRZ		"7658"	Бяла поляна	с.	Byala polyana	с.
VTR32	VTR		"7661"	Бяла река	с.	Byala reka	с.
PDV23	PDV		"7675"	Бяла река	с.	Byala reka	с.
SHU10	SHU		"7692"	Бяла река	с.	Byala reka	с.
VRC08	VRC		"7702"	Бяла Слатина	гр.	Byala Slatina	гр.
VTR22	VTR		"7716"	Бяла черква	гр.	Byala cherkva	гр.
SHU25	SHU		"7729"	Бял бряг	с.	Byal bryag	с.
HKV11	HKV		"7733"	Бялградец	с.	Byalgradets	с.
KRZ02	KRZ		"7747"	Бял извор	с.	Byal izvor	с.
SZR23	SZR		"7750"	Бял извор	с.	Byal izvor	с.
KRZ16	KRZ		"7764"	Бялка	с.	Byalka	с.
SLV16	SLV		"7778"	Бял кладенец	с.	Byal kladenets	с.
HKV30	HKV		"7781"	Бял кладенец	с.	Byal kladenets	с.
SZR23	SZR		"7819"	Бяло поле	с.	Byalo pole	с.
BLG53	BLG		"7822"	Бунцево	с.	Buntsevo	с.
PAZ08	PAZ		"7836"	Биркова	с.	Birkova	с.
PAZ08	PAZ		"7853"	Бозьова	с.	Bozyova	с.
PAZ08	PAZ		"7867"	Бутрева	с.	Butreva	с.
PDV01	PDV		"7870"	Бор	с.	Bor	с.
LOV33	LOV		"7884"	Бабинци	с.	Babintsi	с.
SML18	SML		"7911"	Бурево	с.	Burevo	с.
KRZ02	KRZ		"7925"	Богатино	с.	Bogatino	с.
KRZ08	KRZ		"7939"	Брежана	с.	Brezhana	с.
KRZ14	KRZ		"7942"	Брегово	с.	Bregovo	с.
SFO20	SFO		"7960"	Белица	с.	Belitsa	с.
RAZ14	RAZ		"10015"	Вазово	с.	Vazovo	с.
SFO20	SFO	"(3:02539,41191,66144)"	"10029"	Вакарел	с.	Vakarel	с.
