"SETTLEMENT","MUNICIPALITY","PROVINCE","POSTAL_CODE","EKATTE_ID"
"Генерал Тошево","Тунджа","Ямбол","8625","14725"
"Генералово","Свиленград","Хасково","6523","14708"
"Геновци","Габрово","Габрово","5307","14742"
"Генчовци","Габрово","Габрово","5301","14756"
"Генчовци","Трявна","Габрово","5350","56304"
"Геня","Дряново","Габрово","5397","14762"
"Георги Дамяново","Георги Дамяново","Монтана","3470","14773"
"Георги Добрево","Любимец","Хасково","6559","14787"
"Гергевец","Сливен","Сливен","8869","14800"
"Гергини","Габрово","Габрово","5345","14814"
"Герман","Район Панчарево","София.","1186","#N/A"
"Гецово","Разград","Разград","7219","18589"
"Геша","Дряново","Габрово","5370","14859"
"Гешаново","Добрич","Добрич","9393","#N/A"
"Гиген","Гулянци","Плевен","5970","14876"
"Гигинци","Брезник","Перник","2393","14893"
"Гинци","Годеч","София","2250","14903"
"Гирчевци","Кюстендил","Кюстендил","2546","14917"
"Гита","Чирпан","Стара Загора","6215","14920"
"Глава","Червен бряг","Плевен","5985","14934"
"Главан","Силистра","Силистра","7543","14948"
"Главан","Гълъбово","Стара Загора","6295","14951"
"Главановци","Георги Дамяново","Монтана","3468","14965"
"Главановци","Трън","Перник","2480","14979"
"Главанци","Тервел","Добрич","9499","14982"
"Главатар","Калояново","Пловдив","4171","14996"
"Главатарци","Кърджали","Кърджали","6738","15000"
"Главаци","Криводол","Враца","3045","15014"
"Главиница","Пазарджик","Пазарджик","4409","15028"
"Главиница","Главиница","Силистра","7630","15031"
"Главник","Ардино","Кърджали","6789","18544"
"Глашатай","Антоново","Търговище","7986","15045"
"Гледаци","Габрово","Габрово","5345","15059"
"Гледачево","Раднево","Стара Загора","6263","15062"
"Гледка","Стамболово","Хасково","6362","15093"
"Глогинка","Попово","Търговище","7879","15103"
"Глогино","Баните","Смолян","4948","15117"
"Глоговец","Елена","Велико Търново","5080","15120"
"Глоговица","Трън","Перник","2463","15134"
"Глогово","Тетевен","Ловеч","5724","15148"
"Глоджево","Ветово","Русе","7040","15151"
"Гложене","Козлодуй","Враца","3327","18505"
"Гложене","Тетевен","Ловеч","5740","15165"
"Глумово","Ивайловград","Хасково","6572","15179"
"Глумче","Карнобат","Бургас","8429","15182"
"Глутниците","Трявна","Габрово","5363","15196"
"Глуфишево","Сливен","Сливен","8866","15206"
"Глухар","Кърджали","Кърджали","6647","15216"
"Глушка","Дряново","Габрово","5370","15223"
"Глушник","Сливен","Сливен","8879","15237"
"Гнездаре","Ивайловград","Хасково","6590","15240"
"Гняздово","Кърджали","Кърджали","6675","15268"
"Говедаре","Пазарджик","Пазарджик","4453","15271"
"Говедарци","Самоков","София","2020","15285"
"Говежда","Георги Дамяново","Монтана","3474","15299"
"Годеч","Годеч","София","2240","15309"
"Годешево","Сатовча","Благоевград","2938","15312"
"Годлево","Разлог","Благоевград","2768","15326"
"Гоз","Брезник","Перник","2366","15331"
"Гоздевица","Смолян","Смолян","4791","15343"
"Гоздейка","Дряново","Габрово","5392","15357"
"Голак","Костенец","София","2036","15374"
"Голем Цалим","Сандански","Благоевград","2800","15549"
"Голема Раковица","Елин Пелин","София","2113","15432"
"Голема Фуча","Бобов дол","Кюстендил","2667","15446"
"Големани","Елена","Велико Търново","5070","15391"
"Големаните","Велико Търново","Велико Търново","5054","15401"
"Големаново","Кула","Видин","3839","15415"
"Големанци","Хасково","Хасково","6358","15429"
"Големи Българени","Дряново","Габрово","5370","15463"
"Големи Станчовци","Трявна","Габрово","5365","15480"
"Големо Бабино","Криводол","Враца","3063","15494"
"Големо Бучино","Перник","Перник","2348","15504"
"Големо Малово","Драгоман","София","2204","15518"
"Големо село","Бобов дол","Кюстендил","2635","15535"
"Голец","Угърчин","Ловеч","5573","15552"
"Голеш","Кайнарджа","Силистра","7547","15566"
"Голеш","Годеч","София","2254","15572"
"Голешово","Сандански","Благоевград","2818","15583"
"Голица","Долни чифлик","Варна","9114","15597"
"Голобрад","Ардино","Кърджали","6793","15607"
"Голобрадово","Стамболово","Хасково","6386","15610"
"Голям Върбовник","Бобов дол","Кюстендил","2690","15457"
"Голям Девесил","Крумовград","Кърджали","6932","15727"
"Голям Дервент","Елхово","Ямбол","8757","15730"
"Голям дол","Братя Даскалови","Стара Загора","6245","15744"
"Голям извор","Тетевен","Ловеч","5741","15758"
"Голям извор","Самуил","Разград","7459","15761"
"Голям извор","Стамболово","Хасково","6395","15775"
"Голям манастир","Тунджа","Ямбол","8624","15789"
"Голям Поровец","Исперих","Разград","7444","15953"
"Голям чардак","Съединение","Пловдив","4193","15970"
"Голяма бара","Кърджали","Кърджали","6744","15641"
"Голяма Брестница","Ябланица","Ловеч","5753","15655"
"Голяма вода","Самуил","Разград","7452","15669"
"Голяма долина","Маджарово","Хасково","6476","15698"
"Голяма Желязна","Троян","Ловеч","5670","15703"
"Голяма Чинка","Крумовград","Кърджали","6940","15713"
"Голямо Асеново","Димитровград","Хасково","6424","15792"
"Голямо Белово","Белово","Пазарджик","4473","15802"
"Голямо Буково","Средец","Бургас","8329","15816"
"Голямо Враново","Сливо поле","Русе","7065","15829"
"Голямо градище","Опака","Търговище","7848","15833"
"Голямо Доляне","Антоново","Търговище","7960","15850"
"Голямо Дряново","Казанлък","Стара Загора","6146","15864"
"Голямо Каменяне","Крумовград","Кърджали","6925","15878"
"Голямо Крушево","Болярово","Ямбол","8729","15881"
"Голямо ново","Търговище","Търговище","7789","15895"
"Голямо Пещене","Враца","Враца","3058","15521"
"Голямо Соколово","Търговище","Търговище","7778","15919"
"Голямо усое","Тетевен","Ловеч","5743","#N/A"
"Голямо църквище","Омуртаг","Търговище","7924","15922"
"Голямо Чочовени","Сливен","Сливен","8863","15936"
"Голяновци","Костинброд","София","2231","15984"
"Гомотарци","Видин","Видин","3772","15998"
"Горан","Ловеч","Ловеч","5552","16002"
"Горановци","Велико Търново","Велико Търново","5035","16016"
"Горановци","Кюстендил","Кюстендил","2565","16026"
"Гореме","Струмяни","Благоевград","2834","16033"
"Горен Еневец","Велико Търново","Велико Търново","5050","16047"
"Горен Чифлик","Долни чифлик","Варна","9100","16050"
"Горица","Поморие","Бургас","8225","16064"
"Горица","Бяла","Варна","9101","#N/A"
"Горица","Генерал Тошево","Добрич","9558","18575"
"Горица","Попово","Търговище","7854","16081"
"Горичане","Шабла","Добрич","9688","16095"
"Горичево","Кубрат","Разград","7337","16105"
"Горна Арда","Смолян","Смолян","4788","02782"
"Горна Бела речка","Вършец","Монтана","3544","16119"
"Горна Бешовица","Мездра","Враца","3155","16122"
"Горна Биркова","Велинград","Пазарджик","4657","18513"
"Горна Брезница","Кресна","Благоевград","2842","16136"
"Горна Брестница","Кюстендил","Кюстендил","2575","16141"
"Горна Василица","Костенец","София","2046","18561"
"Горна Вереница","Монтана","Монтана","3484","16153"
"Горна Врабча","Земен","Перник","2439","16167"
"Горна Глоговица","Земен","Перник","2459","16170"
"Горна Гращица","Кюстендил","Кюстендил","2535","16198"
"Горна Диканя","Радомир","Перник","2419","16208"
"Горна Дъбева","Велинград","Пазарджик","4648","18527"
"Горна Златица","Антоново","Търговище","7969","16211"
"Горна Кабда","Търговище","Търговище","7865","16225"
"Горна Ковачица","Чипровци","Монтана","3463","16239"
"Горна Козница","Бобов дол","Кюстендил","2687","16242"
"Горна Кремена","Мездра","Враца","3154","16256"
"Горна крепост","Кърджали","Кърджали","6685","16267"
"Горна Крушица","Струмяни","Благоевград","2827","16273"
"Горна кула","Крумовград","Кърджали","6952","16287"
"Горна Липница","Павликени","Велико Търново","5227","16290"
"Горна Лука","Чипровци","Монтана","3458","16300"
"Горна Малина","Горна Малина","София","2131","16314"
"Горна махала","Калояново","Пловдив","4196","16328"
"Горна Мелна","Трън","Перник","2491","16331"
"Горна Митрополия","Долна Митрополия","Плевен","5869","16345"
"Горна Оряховица","Горна Оряховица","Велико Търново","5100","16359"
"Горна Рибница","Струмяни","Благоевград","2836","16362"
"Горна Росица","Севлиево","Габрово","5448","16376"
"Горна Секирна","Брезник","Перник","2399","16382"
"Горна Студена","Свищов","Велико Търново","5294","16393"
"Горна Сушица","Сандански","Благоевград","2811","16403"
"Горна Хаджийска","Златарица","Велико Търново","5089","16417"
"Горна Хубавка","Омуртаг","Търговище","7913","16420"
"Горни Богров","Район Кремиковци","София","1806","#N/A"
"Горни Вадин","Оряхово","Враца","3343","16451"
"Горни Върпища","Дряново","Габрово","5380","16479"
"Горни Главанак","Маджарово","Хасково","6485","16496"
"Горни Дамяновци","Трявна","Габрово","5367","16506"
"Горни Домлян","Карлово","Пловдив","4368","16513"
"Горни Драгойча","Дряново","Габрово","5380","16523"
"Горни Дъбник","Долни Дъбник","Плевен","5880","16537"
"Горни Коритен","Трекляно","Кюстендил","2557","16554"
"Горни Край","Елена","Велико Търново","5096","16568"
"Горни Лом","Чупрене","Видин","3960","16571"
"Горни Маренци","Трявна","Габрово","5360","16585"
"Горни Окол","Самоков","София","2027","16599"
"Горни Радковци","Трявна","Габрово","5360","16609"
"Горни Романци","Брезник","Перник","2371","16612"
"Горни Танчевци","Елена","Велико Търново","5098","16626"
"Горни Цибър","Вълчедръм","Монтана","3632","16639"
"Горни Цоневци","Трявна","Габрово","5360","16643"
"Горни Юруци","Крумовград","Кърджали","6954","16660"
"Горник","Червен бряг","Плевен","5991","16540"
"Горно Абланово","Борово","Русе","7173","16674"
"Горно Александрово","Сливен","Сливен","8883","16688"
"Горно Белево","Братя  Даскалови","Стара Загора","6219","#N/A"
"Горно Ботево","Стара Загора","Стара Загора","6053","16701"
"Горно Войводино","Хасково","Хасково","6388","16729"
"Горно Вършило","Септември","Пазарджик","4497","16732"
"Горно Драглище","Разлог","Благоевград","2797","16754"
"Горно Дряново","Гърмен","Благоевград","2963","16763"
"Горно Изворово","Казанлък","Стара Загора","6181","16780"
"Горно Камарци","Горна Малина","София","2138","16794"
"Горно Кирково","Кирково","Кърджали","6884","18558"
"Горно Кобиле","Трекляно","Кюстендил","2556","16804"
"Горно Козарево","Омуртаг","Търговище","7927","16818"
"Горно Краище","Белица","Благоевград","2783","77596"
"Горно Къпиново","Кирково","Кърджали","6871","16821"
"Горно Луково","Ивайловград","Хасково","6585","16835"
"Горно Новково","Омуртаг","Търговище","7939","16849"
"Горно ново село","Братя Даскалови","Стара Загора","6225","16852"
"Горно Озирово","Вършец","Монтана","3547","16866"
"Горно Осеново","Симитли","Благоевград","2756","16870"
"Горно Павликене","Ловеч","Ловеч","5549","16883"
"Горно Пещене","Враца","Враца","3052","16897"
"Горно поле","Маджарово","Хасково","6486","16907"
"Горно Прахово","Ардино","Кърджали","6780","16910"
"Горно Сахране","Павел баня","Стара Загора","6151","16924"
"Горно Село","Драгоман","София","2213","16938"
"Горно Спанчево","Сандански","Благоевград","2824","16969"
"Горно трапе","Троян","Ловеч","5614","16986"
"Горно Уйно","Кюстендил","Кюстендил","2561","16995"
"Горно Хърсово","Благоевград","Благоевград","2727","17004"
"Горно Церовене","Монтана","Монтана","3487","17018"
"Горно Черковище","Казанлък","Стара Загора","6165","49076"
"Горно Ябълково","Средец","Бургас","8343","17035"
"Горнова могила","Габрово","Габрово","5304","16715"
"Горноселци","Ивайловград","Хасково","6574","16941"
"Горнослав","Асеновград","Пловдив","4253","16955"
"Горното село","Тетевен","Ловеч","5748","#N/A"
"Горово","Сунгурларе","Бургас","8469","17049"
"Горово","Смолян","Смолян","4776","17052"
"Гороцвет","Лозница","Разград","7288","17066"
"Горочевци","Трън","Перник","2496","17077"
"Горска","Елена","Велико Търново","5083","17083"
"Горска поляна","Болярово","Ямбол","8721","17097"
"Горски горен Тръмбеш","Горна Оряховица","Велико Търново","5132","17107"
"Горски долен Тръмбеш","Горна Оряховица","Велико Търново","5131","17124"
"Горски извор","Кирково","Кърджали","6865","17138"
"Горски извор","Димитровград","Хасково","6420","17141"
"Горски Сеновец","Стражица","Велико Търново","5167","17155"
"Горско","Ивайловград","Хасково","6590","17169"
"Горско Абланово","Опака","Търговище","7847","17172"
"Горско Дюлево","Момчилград","Кърджали","6800","17186"
"Горско Калугерово","Сухиндол","Велико Търново","5238","17192"
"Горско Косово","Сухиндол","Велико Търново","5235","17208"
"Горско ново село","Златарица","Велико Търново","5075","17213"
"Горско Писарево","Златарица","Велико Търново","5088","17227"
"Горско село","Омуртаг","Търговище","7947","17230"
"Горско Сливово","Летница","Ловеч","5557","17244"
"Горталово","Плевен","Плевен","5888","17258"
"Горун","Шабла","Добрич","9689","17275"
"Горунака","Етрополе","София","2191","17289"
"Горуньово","Тетевен","Ловеч","5722","#N/A"
"Горчево","Петрич","Благоевград","2882","17302"
"Горяни","Трявна","Габрово","5367","17316"
"Господиново","Бяла","Варна","9107","#N/A"
"Господиново","Кайнарджа","Силистра","7561","17333"
"Господинци","Гоце Делчев","Благоевград","2914","17347"
"Гостилица","Дряново","Габрово","5390","17350"
"Гостиля","Долна Митрополия","Плевен","5864","17364"
"Гостиня","Ловеч","Ловеч","5543","17378"
"Гостун","Банско","Благоевград","2773","17381"
"Гоце Делчев","Гоце Делчев","Благоевград","2900","17395"
"Градево","Симитли","Благоевград","2755","17405"
"Градежница","Тетевен","Ловеч","5732","17419"
"Градец","Видин","Видин","3780","17422"
"Градец","Котел","Сливен","8990","17436"
"Градец","Костинброд","София","2239","17449"
"Градешница","Криводол","Враца","3074","17453"
"Градина","Долни Добник","Плевен","5879","#N/A"
"Градина","Първомай","Пловдив","4290","17484"
"Градина","Лозница","Разград","7239","17498"
"Градинарово","Провадия","Варна","9243","17508"
"Градини","Генерал Тошево","Добрич","9552","17511"
"Градинка","Антоново","Търговище","7964","#N/A"
"Градище","Севлиево","Габрово","5435","17542"
"Градище","Левски","Плевен","5910","17556"
"Градище","Шумен","Шумен","9803","17573"
"Градница","Севлиево","Габрово","5439","17587"
"Градница","Тервел","Добрич","9498","17590"
"Градско","Сливен","Сливен","8852","17600"
"Градсковски колиби","Бойница","Видин","3835","17614"
"Градът","Смолян","Смолян","4749","17631"
"Грамада","Грамада","Видин","3830","17645"
"Грамаде","Дупница","Кюстендил","2679","17659"
"Грамаде","Рудозем","Смолян","4968","17676"
"Грамаджано","Кюстендил","Кюстендил","2574","#N/A"
"Граматиково","Малко Търново","Бургас","8166","17693"
"Граматици","Елена","Велико Търново","5099","17703"
"Гранит","Братя Даскалови","Стара Загора","6252","17717"
"Гранитец","Средец","Бургас","8333","17720"
"Гранитово","Белоградчик","Видин","3914","17734"
"Гранитово","Елхово","Ямбол","8740","17748"
"Граница","Кюстендил","Кюстендил","2589","17751"
"Граничак","Белоградчик","Видин","3934","17765"
"Граничар","Средец","Бургас","8347","17779"
"Граничар","Шабла","Добрич","9669","17782"
"Граф Игнатиево","Марица","Пловдив","4198","17806"
"Графитово","Нова Загора","Сливен","8938","#N/A"
"Грашево","Велинград","Пазарджик","4618","17823"
"Гращица","Смолян","Смолян","4714","17837"
"Греевци","Антоново","Търговище","7960","17840"
"Гривица","Плевен","Плевен","5841","17854"
"Гривка","Крумовград","Кърджали","6965","17868"
"Гривяк","Кирково","Кърджали","6890","17871"
"Григорево","Елин Пелин","София","2108","17885"
"Грозден","Сунгурларе","Бургас","8464","17909"
"Гроздьово","Долни чифлик","Варна","9106","17912"
"Громшин","Бойчиновци","Монтана","3444","17943"
"Грохотно","Девин","Смолян","4815","17957"
"Груево","Момчилград","Кърджали","6809","17988"
"Гръблевци","Габрово","Габрово","5300","17991"
"Грълска падина","Драгоман","София","2213","18006"
"Грънчарово","Дулово","Силистра","7669","18018"
"Губеш","Годеч","София","2255","18037"
"Губислав","Своге","София","2274","18040"
"Гугутка","Ивайловград","Хасково","6590","18054"
"Гудевица","Смолян","Смолян","4792","18068"
"Гулийка","Крумовград","Кърджали","6943","18071"
"Гулия","Крумовград","Кърджали","6926","18085"
"Гулянци","Гулянци","Плевен","5960","18099"
"Гумощник","Троян","Ловеч","5654","18109"
"Гурбановци","Кюстендил","Кюстендил","2567","18112"
"Гургулица","Момчилград","Кърджали","6830","18126"
"Гургулят","Сливница","София","2223","18133"
"Гурково","Балчик","Добрич","9644","18160"
"Гурково","Ботевград","София","2145","18143"
"Гурково","Гурково","Стара Загора","6199","18157"
"Гурмазово","Божурище","София","2226","18174"
"Гусла","Каолиново","Шумен","9969","18188"
"Гуслар","Тервел","Добрич","9479","18191"
"Гуцал","Самоков","София","2045","18201"
"Гъбене","Габрово","Габрово","5333","18215"
"Гълъбец","Поморие","Бургас","8220","18229"
"Гълъбец","Хасково","Хасково","6366","18232"
"Гълъбинци","Тунджа","Ямбол","8642","18259"
"Гълъбник","Радомир","Перник","2426","18263"
"Гълъбово","Белица","Благоевград","2784","15638"
"Гълъбово","Куклен","Пловдив","4125","18277"
"Гълъбово","Баните","Смолян","4938","00850"
"Гълъбово","Гълъбово","Стара Загора","6280","18280"
"Гълъбовци","Сливница","София","2223","18294"
"Гъмзово","Брегово","Видин","3785","18304"
"Гърбино","Кюстендил","Кюстендил","2550","18318"
"Гърбище","Ардино","Кърджали","6760","18321"
"Гърдевци","Елена","Велико Търново","5087","18335"
"Гърло","Брезник","Перник","2381","18349"
"Гърляно","Кюстендил","Кюстендил","2568","18352"
"Гърмен","Гърмен","Благоевград","2960","18366"
"Гърнати","Неделино","Смолян","4991","18374"
"Гърня","Дряново","Габрово","5370","18397"
"Гърчиново","Опака","Търговище","7844","18407"
"Гъсково","Кърджали","Кърджали","6651","18410"
"Гьоврен","Девин","Смолян","4811","18424"
"Гюешево","Кюстендил","Кюстендил","2570","18455"
"Гюльовца","Несебър","Бургас","8249","18469"
"Гюргево","Петрич","Благоевград","2875","#N/A"
"Гюргич","Ружинци","Видин","3932","18486"
"Давери","Елена","Велико Търново","5083","20027"
"Давидково","Баните","Смолян","4944","20033"
"Давидово","Кайнарджа","Силистра","7563","20047"
"Давидово","Търговище","Търговище","7758","20050"
"Дагоново","Белица","Благоевград","2779","20064"
"Даевци","Трявна","Габрово","5365","20078"
"Дайновци","Елена","Велико Търново","5084","20081"
"Дамяница","Сандански","Благоевград","2813","20105"
"Дамяново","Севлиево","Габрово","5437","20119"
"Даскал Атанасово","Раднево","Стара Загора","6261","#N/A"
"Даскалово","Черноочене","Кърджали","6707","20167"
"Две могили","Две могили","Русе","7150","20184"
"Две тополи","Баните","Смолян","4949","20198"
"Дворище","Кюстендил","Кюстендил","2541","20208"
"Дворище","Мъглиж","Стара Загора","6193","#N/A"
"Дебел дял","Габрово","Габрово","5307","20225"
"Дебелец","Дългопол","Варна","9261","20599"
"Дебелец","Велико Търново","Велико Търново","5030","20242"
"Дебели лаг","Радомир","Перник","2416","20256"
"Дебели рът","Елена","Велико Търново","5084","20268"
"Дебелт","Средец","Бургас","8314","20273"
"Дебелцово","Севлиево","Габрово","5435","20287"
"Дебеляново","Баните","Смолян","4946","20290"
"Дебнево","Троян","Ловеч","5657","20300"
"Дебово","Никопол","Плевен","5958","20314"
"Дебочица","Благоевград","Благоевград","2748","20328"
"Дебрен","Гърмен","Благоевград","2961","20331"
"Дебрене","Сандански","Благоевград","2803","20345"
"Дебрене","Добрич","Добрич","9353","#N/A"
"Дебръщица","Пазарджик","Пазарджик","4414","20362"
"Девене","Враца","Враца","3065","20376"
"Девенци","Червен бряг","Плевен","5995","20383"
"Девесилица","Крумовград","Кърджали","6934","20393"
"Девесилово","Крумовград","Кърджали","6933","20403"
"Деветак","Карнобат","Бургас","8480","20417"
"Деветаки","Ловеч","Ловеч","5555","20420"
"Деветаците","Велико Търново","Велико Търново","5050","20434"
"Деветинци","Карнобат","Бургас","8474","20448"
"Девин","Девин","Смолян","4800","20465"
"Девино","Антоново","Търговище","7972","20479"
"Девинци","Момчилград","Кърджали","6833","24966"
"Девня","Девня","Варна","9160","20482"
"Дедец","Кирково","Кърджали","6861","20496"
"Дедина","Златарица","Велико Търново","5089","20506"
"Дедино","Ардино","Кърджали","6779","24880"
"Дединци","Златарица","Велико Търново","5089","20514"
"Дедово","Родопи","Пловдив","4106","20523"
"Деков","Белене","Плевен","5935","20537"
"Делвино","Благоевград","Благоевград","2728","20540"
"Делвино","Кирково","Кърджали","6896","20554"
"Делейна","Брегово","Видин","3795","20568"
"Делова махала","Златарица","Велико Търново","5084","20571"
"Делчево","Гоце Делчев","Благоевград","2917","20585"
"Делчево","Исперих","Разград","7427","20609"
"Делян","Дупница","Кюстендил","2652","20612"
"Делян","Божурище","София","2225","20626"
"Деляновци","Свищов","Велико Търново","5292","20630"
"Денница","Венец","Шумен","9772","20643"
"Денница","Болярово","Ямбол","8726","20657"
"Денчевци","Дряново","Габрово","5377","20660"
"Дервишка могила","Свиленград","Хасково","6539","20674"
"Дерманци","Луковит","Ловеч","5780","20688"
"Детелина","Карнобат","Бургас","8483","02765"
"Детелина","Долни чифлик","Варна","9111","20701"
"Дечковци","Велико Търново","Велико Търново","5041","20715"
"Джамузовци","Ихтиман","София","2060","20729"
"Джанка","Крумовград","Кърджали","6908","20732"
"Джебел","Джебел","Кърджали","6850","20746"
"Джелепско","Момчилград","Кърджали","6824","20755"
"Джерман","Дупница","Кюстендил","2648","20763"
"Джерово","Кирково","Кърджали","6872","20777"
"Джигурово","Сандански","Благоевград","2812","20780"
"Джинот","Стралджа","Ямбол","8691","20804"
"Джинчовци","Трън","Перник","2483","20818"
"Джулюница","Лясковец","Велико Търново","5146","20835"
"Джулюница","Ценово","Русе","7137","20849"
"Джумриите","Габрово","Габрово","5343","20852"
"Джурково","Лъки","Пловдив","4241","20883"
"Джурово","Правец","София","2163","20897"
"Джуровци","Дряново","Габрово","5380","20907"
"Дибич","Шумен","Шумен","9811","20938"
"Дива Слатина","Георги Дамяново","Монтана","3492","20941"
"Дивеци","Габрово","Габрово","5345","20969"
"Дивля","Земен","Перник","2457","20972"
"Дивотино","Перник","Перник","2350","20986"
"Дивчовото","Тетевен","Ловеч","5727","20996"
"Диманово","Неделино","Смолян","4994","21004"
"Димиевци","Трявна","Габрово","5363","21035"
"Димитриево","Чирпан","Стара Загора","6259","21049"
"Димитровград","Димитровград","Хасково","6400","21052"
"Димитровци","Велико Търново","Велико Търново","5050","21066"
"Димитровче","Свиленград","Хасково","6518","21078"
"Димово","Димово","Видин","3750","21097"
"Димово","Смолян","Смолян","4757","21107"
"Димовци","Велико Търново","Велико Търново","5035","21110"
"Димовци","Гурково","Стара Загора","6192","21124"
"Димча","Павликени","Велико Търново","5234","21138"
"Димчево","Бургас","Бургас","8159","21141"
"Динево","Хасково","Хасково","6340","21155"
"Динк","Марица","Пловдив","4149","21169"
"Динката","Лесичово","Пазарджик","4458","21172"
"Динковица","Видин","Видин","3783","21186"
"Динково","Ружинци","Видин","3921","21193"
"Диня","Раднево","Стара Загора","6268","21209"
"Дирало","Мадан","Смолян","4927","21213"
"Дисевица","Плевен","Плевен","5886","24935"
"Дисманица","Севлиево","Габрово","5441","21227"
"Дичево","Главиница","Силистра","7625","21230"
"Дичин","Велико Търново","Велико Търново","5059","21244"
"Длъгнево","Димитровград","Хасково","6432","21258"
"Длъгня","Дряново","Габрово","5392","21261"
"Длъжка поляна","Антоново","Търговище","7997","21275"
"Длъжко","Хитрино","Шумен","9789","21289"
"Длъхчево - Сабляр","Невестино","Кюстендил","2582","#N/A"
"Доборско","Крумовград","Кърджали","6947","21302"
"Добра поляна","Руен","Бургас","8580","21333"
"Добравица","Своге","София","2279","21316"
"Добралък","Куклен","Пловдив","4259","21324"
"Добрева череша","Рудозем","Смолян","4917","21347"
"Добрево","Добрич","Добрич","9399","#N/A"
"Добревци","Елена","Велико Търново","5095","21364"
"Добревци","Трявна","Габрово","5365","21378"
"Добревци","Ябланица","Ловеч","5762","21381"
"Добрените","Дряново","Габрово","5380","21395"
"Добри Войниково","Хитрино","Шумен","9782","21405"
"Добри дол","Аврен","Варна","9128","21419"
"Добри дол","Трекляно","Кюстендил","2559","21422"
"Добри дол","Лом","Монтана","3667","21436"
"Добри дол","Първомай","Пловдив","4292","21440"
"Добри дял","Лясковец","Велико Търново","5149","21453"
"Добри лаки","Струмяни","Благоевград","2838","21467"
"Добрин","Крушари","Добрич","9402","21470"
"Добрина","Провадия","Варна","9216","21484"
"Добринище","Банско","Благоевград","2777","21498"
"Добриново","Карнобат","Бургас","8477","21508"
"Добриново","Кърджали","Кърджали","6670","21511"
"Добринци","Джебел","Кърджали","6857","21525"
"Добрич","Димитровград","Хасково","6437","21539"
"Добрич","Елхово","Ямбол","8724","21542"
"Добрич",0,"Добрич","9300","#N/A"
"Добровница","Пазарджик","Пазарджик","4405","21556"
"Доброво","Бобошево","Кюстендил","2662","21565"
"Доброглед","Аксаково","Варна","9145","21587"
"Добродан","Троян","Ловеч","5658","21590"
"Добролево","Борован","Враца","3253","21600"
"Добромир","Руен","Бургас","8552","21614"
"Добромирка","Севлиево","Габрово","5430","21628"
"Добромирци","Кирково","Кърджали","6861","21631"
"Доброплодно","Ветрино","Варна","9281","21645"
"Доброселец","Тополовград","Хасково","6560","21659"
"Доброславци","Район Нови Искър","София","1247","#N/A"
"Добростан","Асеновград","Пловдив","4256","21676"
"Добротино","Гоце Делчев","Благоевград","2919","21680"
"Добротица","Ситово","Силистра","7531","21693"
"Добротица","Антоново","Търговище","7990","21703"
"Добротич","Вълчи дол","Варна","9282","21717"
"Добруджанка","Кайнарджа","Силистра","7548","21720"
"Добруша","Криводол","Враца","3069","21734"
"Добърско","Разлог","Благоевград","2799","21748"
"Добърчин","Своге","София","2289","21751"
"Доганово","Елин Пелин","София","2115","21779"
"Дождевица","Кюстендил","Кюстендил","2547","21782"
"Дойновци","Велико Търново","Велико Търново","5035","21796"
"Дойранци","Ардино","Кърджали","6799","21806"
"Дойранци","Каолиново","Шумен","9961","21811"
"Дойренци","Ловеч","Ловеч","5550","21823"
"Докатичево","Симитли","Благоевград","2734","21837"
"Доктор Йосифово","Монтана","Монтана","3449","21840"
"Докьовци","Трън","Перник","2497","21854"
"Долен","Сатовча","Благоевград","2968","21868"
"Долен","Златоград","Смолян","4985","21871"
"Долен Еневец","Велико Търново","Велико Търново","5050","21899"
"Долене","Петрич","Благоевград","2887","21885"
"Долени","Сандански","Благоевград","2811","21909"
"Долец","Дулово","Силистра","7682","21926"
"Долец","Попово","Търговище","7858","21937"
"Долие","Мадан","Смолян","4921","21943"
"Долина","Добрич","Добрич","9358","#N/A"
"Долина","Каолиново","Шумен","9947","21960"
"Долистово","Бобов дол","Кюстендил","2637","21974"
"Долище","Аксаково","Варна","9152","21988"
"Долище","Кърджали","Кърджали","6663","21991"
"Долна баня","Долна баня","София","2040","22006"
"Долна Бела речка","Вършец","Монтана","3545","22019"
"Долна Бешовица","Роман","Враца","3143","22023"
"Долна Василица","Костенец","София","2034","24894"
"Долна Вереница","Монтана","Монтана","3485","22040"
"Долна Врабча","Земен","Перник","2458","22054"
"Долна Градешница","Кресна","Благоевград","2843","22068"
"Долна Гращица","Кюстендил","Кюстендил","2536","22071"
"Долна Диканя","Радомир","Перник","2420","22085"
"Долна Дъбева","Велинград","Пазарджик","4655","24325"
"Долна Златица","Антоново","Търговище","7968","22099"
"Долна Кабда","Попово","Търговище","7867","22109"
"Долна Козница","Невестино","Кюстендил","2595","22112"
"Долна Кремена","Мездра","Враца","3153","22126"
"Долна крепост","Кърджали","Кърджали","6686","22134"
"Долна Крушица","Петрич","Благоевград","2888","22143"
"Долна кула","Крумовград","Кърджали","6953","22157"
"Долна Липница","Павликени","Велико Търново","5226","22160"
"Долна Малина","Горна Малина","София","2107","22174"
"Долна Маргатина","Троян","Ловеч","5659","#N/A"
"Долна махала","Калояново","Пловдив","4200","22191"
"Долна Мелна","Трън","Перник","2490","22201"
"Долна Митрополия","Долна Митрополия","Плевен","5855","22215"
"Долна Невля","Драгоман","София","2213","22229"
