"SETTLEMENT","MUNICIPALITY","PROVINCE","POSTAL_CODE","EKATTE_ID"
"Априлци","Пазарджик","Пазарджик","4445","00571"
"Априлци","Априлци","Ловеч","5641","52218"
"Арбанаси","Велико Търново","Велико Търново","5029","00583"
"Арда","Смолян","Смолян","4790","00597"
"Ардино","Ардино","Кърджали","6750","00607"
"Арзан","Брезник","Перник","2386","00610"
"Арковна","Дългопол","Варна","9246","00624"
"Армените","Габрово","Габрово","5347","00638"
"Армянковци","Трявна","Габрово","5363","00641"
"Арнаутито","Стара Загора","Стара Загора","6069","00655"
"Арпаджик","Мадан","Смолян","4922","00669"
"Арчар","Димово","Видин","3770","00672"
"Асен","Тетевен","Ловеч","5738","#N/A"
"Асен","Павел баня","Стара Загора","6149","00697"
"Асеновград","Асеновград","Пловдив","4230","00702"
"Асеновец","Нова Загора","Сливен","8933","00713"
"Асеново","Стражица","Велико Търново","5159","00730"
"Асеново","Никопол","Плевен","5957","00744"
"Асеново","Тунджа","Ямбол","8667","00758"
"Асеновци","Левски","Плевен","5913","00761"
"Аспарухово","Карнобат","Бургас","8485","00775"
"Аспарухово","Дългопол","Варна","9260","00789"
"Аспарухово","Медковец","Монтана","3661","00792"
"Аспарухово","Левски","Плевен","5914","00802"
"Атия","Созопол","Бургас","8140","63015"
"Атолово","Стралджа","Ямбол","8683","00816"
"Ауста","Момчилград","Кърджали","6821","00828"
"Ахелой","Поморие","Бургас","8217","00833"
"Ахматово","Садово","Пловдив","4128","00847"
"Ахрянско","Ардино","Кърджали","6761","00864"
"Ахтопол","Царево","Бургас","8280","00878"
"Баба Стана","Троян","Ловеч","5632","#N/A"
"Баба Тонка","Попово","Търговище","7861","02021"
"Бабек","Брезово","Пловдив","4156","02035"
"Бабино","Бобов дол","Кюстендил","2683","02049"
"Бабинска река","Бобов дол","Кюстендил","2668","02052"
"Бабинци","Тетевен","Ловеч","5726","07884"
"Бабица","Брезник","Перник","2365","02066"
"Баблон","Смолян","Смолян","4774","02076"
"Бабово","Сливо поле","Русе","7068","02083"
"Бабук","Силистра","Силистра","7573","02097"
"Бабяк","Белица","Благоевград","2784","02107"
"Багалевци","Елена","Велико Търново","5094","02110"
"Багра","Кърджали","Кърджали","6749","02124"
"Багренци","Кюстендил","Кюстендил","2530","02138"
"Багрилци","Крумовград","Кърджали","6944","02141"
"Багрянка","Момчилград","Кърджали","6819","02155"
"Бадевци","Елена","Велико Търново","5093","02169"
"Бадино","Бобошево","Кюстендил","2676","02172"
"Баева ливада","Севлиево","Габрово","5441","#N/A"
"Баевци","Елена","Велико Търново","5087","02191"
"Баевци","Габрово","Габрово","5304","02207"
"Баждари","Елена","Велико Търново","5095","02213"
"Байкал","Долна Митрополия","Плевен","5861","02227"
"Байкалско","Радомир","Перник","2427","02230"
"Байково","Хитрино","Шумен","9767","02244"
"Байлово","Горна Малина","София","2133","02258"
"Бакалите","Черноочене","Кърджали","6698","02261"
"Бакьово","Своге","София","2295","02289"
"Балабаново","Момчилград","Кърджали","6816","02292"
"Балабанско","Троян","Ловеч","5615","02302"
"Балабанчево","Сунгурларе","Бургас","8471","#N/A"
"Балалея","Дряново","Габрово","5370","02333"
"Баланите","Габрово","Габрово","5301","02347"
"Баланово","Дупница","Кюстендил","2680","02350"
"Балван","Велико Търново","Велико Търново","5064","02364"
"Балванците","Дряново","Габрово","5388","02378"
"Балдево","Гърмен","Благоевград","2948","02381"
"Балей","Брегово","Видин","3797","02395"
"Балик","Тервел","Добрич","9485","02405"
"Балиновци","Габрово","Габрово","5342","02419"
"Балкан","Стамболово","Хасково","6363","02436"
"Балкан махала","Лъки","Пловдив","4245","02453"
"Балканец","Троян","Ловеч","5634","02448"
"Балкански","Разград","Разград","7265","02467"
"Балканци","Стражица","Велико Търново","5162","02470"
"Балканци","Генерал Тошево","Добрич","9549","02484"
"Балуци","Елена","Велико Търново","5081","02498"
"Балчик","Балчик","Добрич","9600","02508"
"Балша","Район Нови Искър","София","1217","#N/A"
"Бальовци","Ихтиман","София","2060","02539"
"Балювица","Берковица","Монтана","3529","02542"
"Банари","Дряново","Габрово","5370","02556"
