ekatte,shared_grounds_parent,shared_grounds_children,t_v_m,name,oblast,obstina,kmetstvo,kind,category,altitude,document,tsb,abc,area
00285,,,с.,Александрово,VTR,VTR28,VTR28-02,3,7,2,1928,N,26,11686
00299,,,с.,Александрово,LOV,LOV18,LOV18-02,3,5,3,1928,NW,27,41690
00309,,,с.,Александрово,SZR,SZR24,SZR24-01,3,5,5,1928,SE,28,78630
00312,,,с.,Александрово,TGV,TGV35,TGV35-02,3,7,5,1928,NE,29,15469
00326,,,с.,Александрово,HKV,HKV34,HKV34-01,3,7,4,1928,S,30,21601
00330,,,с.,Александрово,SHU,SHU25,SHU25-00,3,8,4,1928,NE,31,23943
00343,,,с.,Александрово,JAM,JAM22,JAM22-01,3,7,3,1928,SE,32,37264
00357,,,гр.,Нови Искър,SOF,SOF46,SOF46-00,1,3,6,1928,SW,3289,52808
00360,,,с.,Александър Стамболийски,DOB,DOB12,DOB12-00,3,8,2,1928,NE,33,27921
00374,,,с.,Самуилово,DOB,DOB15,DOB15-01,3,7,4,1928,NE,4148,20981
00388,00597,,с.,Алиговска,SML,SML31,SML31-01,3,8,8,1928,S,35,0
00391,,,с.,Алино,SFO,SFO39,SFO39-01,3,7,7,1928,SW,36,48571
00401,,,с.,Алтимир,VRC,VRC08,VRC08-01,3,6,2,1928,NW,37,32058
00415,,,гр.,Алфатар,SLS,SLS01,SLS01-00,1,4,3,1928,N,38,105443
00429,,,с.,Алцек,DOB,DOB15,DOB15-02,3,7,4,1928,NE,39,10271
00432,,,с.,Ангеларий,DOB,DOB27,DOB27-01,3,7,4,1928,NE,41,12441
00446,,,с.,Ангел войвода,HKV,HKV19,HKV19-01,3,6,5,1928,S,40,12452
00456,22959,,с.,Ангелов,GAB,GAB05,GAB05-09,3,8,6,1927,N,42,0
00480,,,с.,Анево,PDV,PDV43,PDV43-01,3,5,5,1928,S,43,19171
00494,,,с.,Антимово,SLS,SLS34,SLS34-00,3,8,3,1928,N,44,17397
00504,,,с.,Антон,SFO,SFO54,SFO54-00,3,5,7,1928,SW,46,76098
00518,,,гр.,Антоново,TGV,TGV02,TGV02-00,1,4,5,1928,NE,47,25076
00521,72607,,с.,Аплаци,VTR,VTR13,VTR13-00,3,8,6,1928,N,48,0
00549,,,с.,Априлово,SFO,SFO10,SFO10-01,3,5,6,1928,SW,49,12050
00552,,,с.,Априлово,SZR,SZR07,SZR07-01,3,7,3,1928,SE,50,14660
00566,,,с.,Априлово,TGV,TGV24,TGV24-01,3,7,4,1928,NE,51,19732
00571,,,с.,Априлци,PAZ,PAZ19,PAZ19-02,3,6,4,1928,S,52,16567
00583,,,с.,Арбанаси,VTR,VTR04,VTR04-01,3,4,5,1928,N,55,11881
00597,,00388 15343 18068 62534 ,с.,Арда,SML,SML31,SML31-01,3,6,8,1928,S,56,17928
00607,,,гр.,Ардино,KRZ,KRZ02,KRZ02-00,1,3,6,1928,S,57,15328
00610,,,с.,Арзан,PER,PER08,PER08-00,3,8,7,1928,SW,58,8321
00624,,,с.,Арковна,VAR,VAR16,VAR16-00,3,8,2,1928,NE,59,17316
00638,,44015 56191 ,с.,Армените,GAB,GAB05,GAB05-00,3,8,5,1928,N,60,10126
00641,03513,,с.,Армянковци,GAB,GAB35,GAB35-00,3,8,6,1928,N,61,0
00655,,,с.,Арнаутито,SZR,SZR31,SZR31-01,3,7,4,1928,SE,62,22129
00669,48461,,с.,Арпаджик,SML,SML16,SML16-00,3,8,7,1928,S,63,0
00672,,,с.,Арчар,VID,VID16,VID16-01,3,5,2,1928,NW,64,54418
00697,,,с.,Асен,SZR,SZR24,SZR24-02,3,7,5,1928,SE,65,18906
00702,,,гр.,Асеновград,PDV,PDV01,PDV01-00,1,2,4,1928,S,66,78012
00713,,,с.,Асеновец,SLV,SLV16,SLV16-01,3,6,3,1928,SE,67,20624
00730,,,с.,Асеново,VTR,VTR31,VTR31-01,3,6,3,1928,N,68,37105
00744,,,с.,Асеново,PVN,PVN21,PVN21-16,3,7,2,1928,NW,69,18916
00758,,,с.,Асеново,JAM,JAM25,JAM25-00,3,8,3,1928,SE,70,12790
00761,,,с.,Асеновци,PVN,PVN16,PVN16-01,3,5,2,1928,NW,71,44238
00775,,,с.,Аспарухово,BGS,BGS09,BGS09-01,3,7,2,1928,SE,72,24746
00789,,,с.,Аспарухово,VAR,VAR16,VAR16-02,3,6,2,1928,NE,73,90717
00792,,,с.,Аспарухово,MON,MON26,MON26-01,3,7,3,1928,NW,74,20416
00802,,,с.,Аспарухово,PVN,PVN16,PVN16-02,3,6,2,1928,NW,75,11777
00816,,,с.,Атолово,JAM,JAM22,JAM22-02,3,7,3,1928,SE,77,10346
00828,,,с.,Ауста,KRZ,KRZ21,KRZ21-30,3,7,5,1928,S,78,6026
00833,,,гр.,Ахелой,BGS,BGS17,BGS17-02,1,4,1,1928,SE,79,13200
00847,,,с.,Ахматово,PDV,PDV28,PDV28-12,3,7,3,1928,S,80,13017
00850,,,с.,Гълъбово,SML,SML02,SML02-01,3,6,7,1928,S,1307,19289
00864,,,с.,Ахрянско,KRZ,KRZ02,KRZ02-01,3,8,7,1928,S,81,6839
00878,,,гр.,Ахтопол,BGS,BGS13,BGS13-01,1,4,1,1928,SE,82,28704
00881,,,с.,Абланица,PAZ,PAZ08,PAZ08-01,3,7,8,1928,S,3,11874
00895,,,с.,Айдемир,SLS,SLS31,SLS31-01,3,4,1,1928,N,11,64745
00905,,,с.,Априлци,KRZ,KRZ14,KRZ14-48,3,7,5,1928,S,53,1735
00919,,,с.,Антимово,VID,VID09,VID09-02,3,6,1,1928,NW,45,11962
02021,,,с.,Баба Тонка,TGV,TGV24,TGV24-02,3,8,5,1928,NE,84,13362
02035,,,с.,Бабек,PDV,PDV07,PDV07-00,3,8,5,1928,S,85,16759
02049,,,с.,Бабино,KNL,KNL04,KNL04-14,3,6,6,1928,SW,86,10542
02052,,,с.,Бабинска река,KNL,KNL04,KNL04-00,3,8,6,1928,SW,87,3192
02066,,,с.,Бабица,PER,PER08,PER08-00,3,8,7,1928,SW,89,13121
02076,67547,,с.,Баблон,SML,SML31,SML31-30,3,8,8,1928,S,90,0
02083,,,с.,Бабово,RSE,RSE33,RSE33-01,3,6,1,1928,N,91,17389
02097,,,с.,Бабук,SLS,SLS31,SLS31-02,3,6,2,1928,N,92,36665
02107,,,с.,Бабяк,BLG,BLG02,BLG02-01,3,6,8,1928,SW,93,16662
02110,72607,,с.,Багалевци,VTR,VTR13,VTR13-00,3,8,5,1928,N,94,0
02124,,,с.,Багра,KRZ,KRZ16,KRZ16-51,3,8,6,1928,S,95,2400
02138,,,с.,Багренци,KNL,KNL29,KNL29-01,3,6,5,1928,SW,96,8137
02141,,,с.,Багрилци,KRZ,KRZ15,KRZ15-02,3,8,6,1928,S,97,26731
02155,,,с.,Багрянка,KRZ,KRZ21,KRZ21-01,3,7,5,1928,S,98,3782
02169,68429,,с.,Бадевци,VTR,VTR13,VTR13-00,3,8,6,1928,N,99,0
02172,,,с.,Бадино,KNL,KNL05,KNL05-00,3,8,7,1928,SW,100,19621
02191,83171,,с.,Баевци,VTR,VTR13,VTR13-00,3,8,5,1928,N,102,0
02207,14218,,с.,Баевци,GAB,GAB05,GAB05-00,3,8,5,1928,N,103,0
02213,23710,,с.,Баждари,VTR,VTR13,VTR13-00,3,8,7,1928,N,104,0
02227,,,с.,Байкал,PVN,PVN10,PVN10-01,3,6,1,1928,NW,105,42218
02230,,,с.,Байкалско,PER,PER36,PER36-00,3,8,7,1928,SW,106,21076
02244,,,с.,Байково,SHU,SHU11,SHU11-01,3,7,5,1928,NE,107,7765
02258,,,с.,Байлово,SFO,SFO10,SFO10-02,3,7,7,1928,SW,108,24478
02261,,,с.,Бакалите,KRZ,KRZ35,KRZ35-23,3,8,5,1928,S,109,4941
02289,,,с.,Бакьово,SFO,SFO43,SFO43-00,3,8,7,1928,SW,110,8416
02292,,70706,с.,Балабаново,KRZ,KRZ21,KRZ21-02,3,7,5,1928,S,111,10628
02302,,,с.,Балабанско,LOV,LOV34,LOV34-00,3,7,6,1928,NW,112,23236
02333,14859,,с.,Балалея,GAB,GAB12,GAB12-00,3,8,5,1928,N,114,0
02347,,04683 14756 38813 76217 ,с.,Баланите,GAB,GAB05,GAB05-00,3,8,6,1928,N,115,14159
02350,,,с.,Баланово,KNL,KNL48,KNL48-01,3,6,5,1928,SW,116,14398
02364,,,с.,Балван,VTR,VTR04,VTR04-02,3,6,5,1928,N,117,33670
02378,35465,,с.,Балванците,GAB,GAB12,GAB12-00,3,8,5,1928,N,118,0
02381,,,с.,Балдево,BLG,BLG13,BLG13-01,3,7,6,1928,SW,119,8038
02395,,,с.,Балей,VID,VID06,VID06-01,3,6,3,1928,NW,120,10445
02405,,,с.,Балик,DOB,DOB27,DOB27-02,3,7,4,1928,NE,121,14487
02419,22959,,с.,Балиновци,GAB,GAB05,GAB05-09,3,8,5,1927,N,122,0
02436,78094,,с.,Балкан,HKV,HKV30,HKV30-12,3,7,5,1928,S,123,0
02448,,,с.,Балканец,LOV,LOV34,LOV34-02,3,7,6,1928,NW,125,36770
02453,46989,,с.,Балкан махала,PDV,PDV15,PDV15-00,3,8,8,1928,S,124,0
02467,,,с.,Балкански,RAZ,RAZ26,RAZ26-01,3,7,4,1928,N,126,31958
02470,,,с.,Балканци,VTR,VTR31,VTR31-02,3,7,4,1928,N,127,13586
02484,,,с.,Балканци,DOB,DOB12,DOB12-00,3,8,3,1928,NE,128,19475
02498,87326,,с.,Балуци,VTR,VTR13,VTR13-00,3,8,5,1928,N,129,0
02508,,,гр.,Балчик,DOB,DOB03,DOB03-00,1,2,2,1928,NE,130,74411
02511,,,с.,Балша,SOF,SOF46,SOF46-36,3,6,6,1928,SW,131,17456
02539,10029,,с.,Бальовци,SFO,SFO20,SFO20-06,3,8,7,1928,SW,132,0
02542,,,с.,Балювица,MON,MON02,MON02-00,3,8,4,1928,NW,133,8321
02556,12677,,с.,Банари,GAB,GAB12,GAB12-00,3,8,6,1928,N,134,0
02563,,00117 10344 22993 30733 36720 47456 51603 ,с.,Бангейци,GAB,GAB35,GAB35-00,3,8,5,1928,N,135,12783
02587,,,с.,Баниска,RSE,RSE08,RSE08-01,3,5,3,1928,N,136,33945
02590,,,с.,Баница,VRC,VRC10,VRC10-01,3,5,4,1928,NW,138,37395
02600,,,с.,Баничан,BLG,BLG11,BLG11-01,3,6,6,1928,SW,139,13100
02614,,,с.,Банище,PER,PER08,PER08-00,3,8,7,1928,SW,140,16408
02628,,,с.,Банковец,TGV,TGV02,TGV02-00,3,8,5,1928,NE,141,4107
02631,17991,,с.,Банковци,GAB,GAB05,GAB05-00,3,8,6,1928,N,142,0
02645,,,с.,Банкя,PER,PER51,PER51-00,3,8,6,1928,SW,143,5651
02659,,,гр.,Банкя,SOF,SOF46,SOF46-00,1,3,6,1928,SW,144,33002
02662,,,с.,Баново,VAR,VAR26,VAR26-00,3,8,5,1928,NE,145,12978
02676,,,гр.,Банско,BLG,BLG01,BLG01-00,1,3,7,1928,SW,146,148280
02689,55600,,с.,Банчовци,SFO,SFO20,SFO20-00,3,8,7,1928,SW,147,0
02693,,,с.,Баня,BLG,BLG37,BLG37-01,3,5,7,1928,SW,148,36537
02703,,,с.,Баня,BGS,BGS15,BGS15-01,3,7,3,1928,SE,149,65177
02717,,,с.,Баня,PAZ,PAZ20,PAZ20-01,3,6,5,1928,S,150,34017
02720,,,гр.,Баня,PDV,PDV13,PDV13-01,1,4,4,1928,S,151,14459
02734,,,с.,Баня,SLV,SLV16,SLV16-02,3,5,4,1928,SE,152,43517
02748,,,с.,Бараково,KNL,KNL27,KNL27-01,3,5,5,1928,SW,153,7979
02751,,,с.,Бараци,KRZ,KRZ15,KRZ15-60,3,7,4,1928,S,154,6710
02765,,,с.,Детелина,BGS,BGS09,BGS09-02,3,7,3,1928,SE,1390,17907
02779,,,с.,Барутин,SML,SML10,SML10-01,3,5,8,1928,S,155,54946
02782,,04100 68521 ,с.,Горна Арда,SML,SML31,SML31-00,3,8,8,1928,S,1109,7698
02796,,,с.,Басарбово,RSE,RSE27,RSE27-01,3,5,1,1928,N,156,26499
02806,,,с.,Баскалци,BLG,BLG33,BLG33-00,3,8,7,1928,SW,157,27007
02810,,,с.,Бата,BGS,BGS17,BGS17-03,3,6,3,1928,SE,158,30194
02823,,,с.,Батак,VTR,VTR22,VTR22-01,3,6,3,1928,N,159,23092
02837,,,гр.,Батак,PAZ,PAZ03,PAZ03-00,1,4,7,1928,S,160,461105
02854,,,с.,Батин,RSE,RSE03,RSE03-01,3,6,2,1928,N,162,38722
02868,,,с.,Батишница,RSE,RSE08,RSE08-02,3,5,4,1928,N,163,24056
02871,,,с.,Батово,DOB,DOB15,DOB15-03,3,6,2,1928,NE,164,24285
02885,,36347 36600 ,с.,Батошево,GAB,GAB29,GAB29-02,3,6,4,1928,N,165,22145
02899,,,с.,Батулия,SFO,SFO43,SFO43-00,3,7,6,1928,SW,166,22698
02909,,,с.,Батулци,LOV,LOV38,LOV38-01,3,7,5,1928,NW,167,29937
02912,,,с.,Баурене,VRC,VRC21,VRC21-01,3,7,3,1928,NW,168,17784
02926,32411,,с.,Бахалин,SFO,SFO45,SFO45-00,3,8,6,1928,SW,169,0
02935,,,с.,Баховица,LOV,LOV18,LOV18-03,3,6,4,1928,NW,170,23841
02943,68823,,с.,Бахреци,GAB,GAB35,GAB35-00,3,8,6,1928,N,171,0
02957,,,с.,Бацова махала,PVN,PVN21,PVN21-02,3,6,1,1928,NW,172,20597
02960,,,с.,Бачево,BLG,BLG37,BLG37-02,3,5,7,1928,SW,173,66218
02974,,,с.,Бачково,PDV,PDV01,PDV01-23,3,6,5,1928,S,174,37333
02988,,43743,с.,Букаците,SML,SML31,SML31-00,3,8,7,1928,S,552,10048
02991,,,с.,Башево,KRZ,KRZ02,KRZ02-02,3,7,7,1928,S,175,4647
03006,,,с.,Бащино,KRZ,KRZ16,KRZ16-01,3,7,5,1928,S,176,10185
03017,,,с.,Бащино,SLS,SLS07,SLS07-01,3,7,3,1928,N,177,12233
03023,,,с.,Бащино,SZR,SZR23,SZR23-00,3,8,3,1928,SE,178,14880
03037,,,с.,Баячево,TGV,TGV35,TGV35-03,3,6,4,1928,NE,179,15369
03040,,,с.,Бдинци,DOB,DOB15,DOB15-00,3,8,4,1928,NE,180,22367
03054,,04652 05709 07805 14430 32055 56011 57738 57741 80042 80978 ,с.,Беброво,VTR,VTR13,VTR13-01,3,7,5,1928,N,181,49087
03068,,,с.,Беглеж,PVN,PVN24,PVN24-01,3,6,4,1928,NW,182,57251
03085,,,с.,Бегово,PDV,PDV12,PDV12-01,3,6,4,1928,S,183,22751
03099,,,с.,Бегуновци,PER,PER08,PER08-04,3,7,7,1928,SW,184,10587
03109,,,с.,Бегунци,PDV,PDV13,PDV13-02,3,7,5,1928,S,185,10902
03112,,,с.,Беден,SML,SML09,SML09-01,3,7,8,1928,S,186,45762
03126,,,с.,Беджене,SHU,SHU22,SHU22-00,3,8,5,1928,NE,187,8667
03143,,,с.,Бежаново,LOV,LOV19,LOV19-01,3,5,3,1928,NW,189,60937
03157,,,с.,Бежаново,DOB,DOB12,DOB12-00,3,8,2,1928,NE,190,30336
03174,,,с.,Безводица,DOB,DOB03,DOB03-01,3,6,4,1928,NE,191,23621
03188,,,с.,Безводно,KRZ,KRZ35,KRZ35-00,3,8,7,1928,S,192,47474
03191,,,с.,Безден,SFO,SFO26,SFO26-01,3,7,6,1928,SW,193,18888
03201,,,с.,Безденица,MON,MON29,MON29-22,3,7,3,1928,NW,194,18936
03215,,,с.,Безмер,DOB,DOB27,DOB27-03,3,5,4,1928,NE,195,42990
03229,,,с.,Безмер,JAM,JAM25,JAM25-02,3,5,3,1928,SE,196,32582
03232,72607,,с.,Бейковци,VTR,VTR13,VTR13-00,3,8,6,1928,N,197,0
03246,17991,,с.,Бекриите,GAB,GAB05,GAB05-00,3,8,6,1928,N,198,0
03258,17186,,с.,Каменец,KRZ,KRZ21,KRZ21-45,3,8,6,1928,S,2201,0
03263,,,с.,Бела,VID,VID16,VID16-00,3,8,4,1928,NW,200,20785
03277,,,с.,Беланица,PER,PER36,PER36-00,3,8,6,1928,SW,202,1804
03280,,,с.,Бела Рада,VID,VID09,VID09-03,3,7,5,1928,NW,201,25569
03294,,,с.,Беласица,BLG,BLG33,BLG33-02,3,5,7,1928,SW,203,26066
03304,,,с.,Белащица,PDV,PDV26,PDV26-01,3,5,4,1928,S,204,13782
03318,,,с.,Белгун,DOB,DOB17,DOB17-01,3,7,3,1928,NE,205,33292
03321,,,с.,Белев дол,SML,SML31,SML31-00,3,8,7,1928,S,206,3764
03335,,,с.,Белевехчево,BLG,BLG40,BLG40-00,3,8,5,1928,SW,207,1870
03349,,,с.,Белеврен,BGS,BGS06,BGS06-00,3,8,5,1928,SE,208,42973
03366,,,гр.,Белене,PVN,PVN03,PVN03-00,1,3,1,1928,NW,209,146310
03373,,,с.,Беленци,LOV,LOV19,LOV19-02,3,7,5,1928,NW,210,25705
03383,,,с.,Бели брег,MON,MON04,MON04-00,3,8,3,1928,NW,211,17157
03397,,,с.,Бели брод,MON,MON04,MON04-11,3,7,2,1928,NW,212,15472
03407,,,с.,Бели бряг,SZR,SZR27,SZR27-00,3,7,3,1928,SE,213,10612
03410,,,с.,Бели вир,KRZ,KRZ35,KRZ35-02,3,6,6,1928,S,214,8067
03424,,,с.,Бели дол,HKV,HKV11,HKV11-04,3,8,3,1928,S,215,8258
03438,,,с.,Бели извор,VRC,VRC10,VRC10-02,3,6,4,1928,NW,216,28038
03441,,,с.,Бели Искър,SFO,SFO39,SFO39-02,3,6,8,1928,SW,217,89382
03455,,,с.,Белила,BGS,BGS06,BGS06-00,3,8,2,1928,SE,221,20348
03469,,,с.,Белимел,MON,MON36,MON36-10,3,7,5,1928,NW,222,19526
03472,,,с.,Белинци,RAZ,RAZ14,RAZ14-01,3,6,4,1928,N,223,12910
03486,,,с.,Бели Осъм,LOV,LOV34,LOV34-03,3,6,6,1928,NW,219,41788
03499,,,с.,Бели пласт,KRZ,KRZ16,KRZ16-02,3,6,5,1928,S,220,17468
03504,,,гр.,Белица,BLG,BLG02,BLG02-00,1,4,7,1928,SW,224,72923
03513,,00641 15196 21035 23594 24671 32041 47072 61649 61916 ,с.,Белица,GAB,GAB35,GAB35-00,3,8,5,1928,N,225,21326
03527,,,с.,Белица,SLS,SLS34,SLS34-02,3,6,3,1928,N,226,33937
03530,,,с.,Белица,PDV,PDV15,PDV15-01,3,7,7,1928,S,227,61812
03544,,,с.,Белица,HKV,HKV17,HKV17-01,3,7,3,1928,S,228,28132
03558,,,с.,Белиш,LOV,LOV34,LOV34-04,3,7,6,1928,NW,230,29289
03561,,,с.,Бел камен,BLG,BLG53,BLG53-02,3,6,7,1928,SW,199,10962
03575,,,с.,Беловец,RAZ,RAZ16,RAZ16-01,3,5,3,1928,N,233,38422
03589,,,с.,Беловица,PDV,PDV37,PDV37-01,3,7,5,1928,S,234,55229
03592,,15802,гр.,Белово,PAZ,PAZ04,PAZ04-00,1,3,4,1928,S,235,135307
03602,,,с.,Белоградец,VAR,VAR08,VAR08-01,3,5,4,1928,NE,236,51950
03616,,,гр.,Белоградчик,VID,VID01,VID01-00,1,3,6,1928,NW,237,22234
03620,,,с.,Белозем,PDV,PDV25,PDV25-01,3,4,3,1928,S,239,41828
03633,,,с.,Белокопитово,SHU,SHU30,SHU30-01,3,7,4,1928,NE,240,6425
03647,,,с.,Беломорци,TGV,TGV22,TGV22-01,3,6,5,1928,NE,241,12084
03650,37352,,с.,Беломъжите,GAB,GAB05,GAB05-00,3,8,5,1928,N,242,0
03664,,,с.,Бело поле,BLG,BLG03,BLG03-02,3,5,6,1928,SW,231,2584
03678,,62791,с.,Бело поле,VID,VID33,VID33-06,3,6,3,1928,NW,232,30656
03681,,,с.,Белополци,HKV,HKV11,HKV11-01,3,7,6,1928,S,243,23340
03695,,,с.,Белополяне,HKV,HKV11,HKV11-02,3,7,3,1928,S,244,15728
03705,,,с.,Белопопци,SFO,SFO10,SFO10-03,3,6,6,1928,SW,245,15425
03719,,,гр.,Белослав,VAR,VAR04,VAR04-00,1,3,1,1928,NE,246,38370
03722,,,с.,Белотинци,MON,MON29,MON29-02,3,7,4,1928,NW,247,44286
03736,,,с.,Долно Белотинци,MON,MON29,MON29-03,3,6,3,1928,NW,1566,26286
03745,,,с.,Белцов,RSE,RSE37,RSE37-01,3,6,1,1928,N,248,25254
03753,11898,,с.,Белчевци,VTR,VTR04,VTR04-09,3,8,6,1928,N,249,0
03767,,03770,с.,Белчин,SFO,SFO39,SFO39-03,3,7,7,1928,SW,250,35147
03770,03767,,с.,Белчински бани,SFO,SFO39,SFO39-03,3,8,7,1928,SW,251,0
03784,,,с.,Бельово,BLG,BLG40,BLG40-00,3,8,7,1928,SW,252,41228
03798,,,с.,Беляковец,VTR,VTR04,VTR04-03,3,5,5,1928,N,253,22497
03808,,,с.,Беляново,RSE,RSE37,RSE37-02,3,7,1,1928,N,254,13650
03811,,,с.,Бенковски,VAR,VAR01,VAR01-01,3,6,4,1928,NE,255,13232
03825,,,с.,Бенковски,KRZ,KRZ14,KRZ14-02,3,5,5,1928,S,256,13912
03839,,,с.,Бенковски,PDV,PDV17,PDV17-01,3,5,3,1928,S,257,16284
03842,,,с.,Бенковски,SFO,SFO56,SFO56-00,3,7,6,1928,SW,258,16014
03856,,,с.,Бенковски,SZR,SZR31,SZR31-00,3,7,3,1928,SE,259,14462
03860,,,с.,Бенковски,DOB,DOB15,DOB15-05,3,6,4,1928,NE,260,36546
03873,,,с.,Берайнци,PER,PER51,PER51-00,3,8,7,1928,SW,261,2416
03887,,,с.,Беренде,PER,PER19,PER19-00,3,8,7,1928,SW,262,10217
03890,,,с.,Беренде,SFO,SFO16,SFO16-00,3,8,6,1928,SW,263,7152
03900,,,с.,Беренде извор,SFO,SFO16,SFO16-00,3,8,6,1928,SW,264,7270
03914,,,с.,Бериево,GAB,GAB29,GAB29-03,3,7,4,1928,N,265,26291
03928,,,гр.,Берковица,MON,MON02,MON02-00,1,3,5,1928,NW,266,80655
03931,,,с.,Берковски,TGV,TGV24,TGV24-00,3,8,5,1928,NE,267,9971
03945,68429,,с.,Берковци,VTR,VTR13,VTR13-00,3,8,6,1928,N,268,0
03959,,,с.,Бероново,BGS,BGS23,BGS23-00,3,8,5,1928,SE,269,28814
03962,,,с.,Берсин,KNL,KNL29,KNL29-02,3,7,6,1928,SW,270,10740
03976,,,с.,Беслен,BLG,BLG52,BLG52-02,3,6,6,1928,SW,271,19466
03986,,,с.,Беснурка,KRZ,KRZ35,KRZ35-36,3,8,6,1928,S,272,2715
03993,,,с.,Биволаре,PVN,PVN10,PVN10-02,3,6,2,1928,NW,273,12427
04008,,,с.,Биволяне,KRZ,KRZ21,KRZ21-03,3,7,6,1928,S,274,15014
04011,61861,,с.,Бижовци,VTR,VTR04,VTR04-00,3,8,5,1928,N,275,0
04025,,11956 22527 40350 51370 53477 62267 66857 68624 72535 ,с.,Бижовци,GAB,GAB35,GAB35-00,3,8,6,1928,N,276,14139
04039,,,с.,Биково,SLV,SLV20,SLV20-01,3,7,3,1928,SE,277,21994
04042,,,с.,Билинци,PER,PER08,PER08-00,3,8,7,1928,SW,278,5193
04056,,,с.,Билка,BGS,BGS18,BGS18-01,3,6,3,1928,SE,279,14637
04068,32319,,с.,Билкини,GAB,GAB12,GAB12-00,3,8,5,1928,N,280,0
04090,,,с.,Било,DOB,DOB17,DOB17-00,3,8,2,1928,NE,281,17597
04100,02782,,с.,Билянска,SML,SML31,SML31-00,3,8,8,1928,S,282,0
04114,,,с.,Бинкос,SLV,SLV20,SLV20-02,3,7,3,1928,SE,283,12850
04128,,,с.,Бисер,HKV,HKV33,HKV33-01,3,5,2,1928,S,285,28346
04131,,,с.,Бисерци,RAZ,RAZ16,RAZ16-02,3,5,3,1928,N,286,29055
04145,,,с.,Бистра,SLS,SLS01,SLS01-02,3,7,4,1928,N,287,15681
04159,,,с.,Бистра,TGV,TGV35,TGV35-04,3,7,3,1928,NE,288,13201
04162,,,с.,Бистренци,RSE,RSE04,RSE04-10,3,7,4,1928,N,289,23012
04176,,,с.,Бистрец,BGS,BGS06,BGS06-00,3,7,3,1928,SE,290,31205
04193,,,с.,Бистрец,DOB,DOB20,DOB20-03,3,7,3,1928,NE,291,16063
04203,,,с.,Бистрилица,MON,MON02,MON02-02,3,7,4,1928,NW,292,20722
04217,,,с.,Бистрица,BLG,BLG03,BLG03-03,3,8,6,1928,SW,293,171498
04220,,,с.,Бистрица,KNL,KNL48,KNL48-02,3,5,7,1928,SW,294,58818
04234,,,с.,Бистрица,SOF,SOF46,SOF46-54,3,4,7,1928,SW,295,52964
04248,,,с.,Бистроглед,KRZ,KRZ02,KRZ02-35,3,8,6,1928,S,296,2602
04251,,,с.,Благово,MON,MON29,MON29-04,3,6,4,1928,NW,297,19300
04265,32706,,с.,Благово,SHU,SHU30,SHU30-25,3,8,3,1928,NE,298,0
04279,,,гр.,Благоевград,BLG,BLG03,BLG03-00,1,1,5,1928,SW,299,28909
